#,weight,feed,,#,weight,feed,,#,weight,feed
1,108,horsebean,,11,141,linseed,,23,158,soybean
2,124,horsebean,,12,148,linseed,,24,171,soybean
3,136,horsebean,,13,169,linseed,,25,193,soybean
4,140,horsebean,,14,181,linseed,,26,199,soybean
5,143,horsebean,,15,203,linseed,,27,230,soybean
6,160,horsebean,,16,213,linseed,,28,243,soybean
7,168,horsebean,,17,229,linseed,,29,248,soybean
8,179,horsebean,,18,244,linseed,,30,248,soybean
9,217,horsebean,,19,257,linseed,,31,250,soybean
10,227,horsebean,,20,260,linseed,,32,267,soybean
,,,,21,271,linseed,,33,271,soybean
Min,108,,,22,309,linseed,,34,316,soybean
Max,227,,,,,,,35,327,soybean
Average,160.2,,,Min,141,,,36,329,soybean
,,,,Max,309,,,,,
,,,,Average,218.75,,,Min,158,
,,,,,,,,Max,329,
,,,,,,,,Average,246.4285714,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#,weight,feed,,#,weight,feed,,#,weight ,feed
37,226,sunflower,,49,153,meatmeal,,60,216,casein
38,295,sunflower,,50,206,meatmeal,,61,222,casein
39,297,sunflower,,51,242,meatmeal,,62,260,casein
40,318,sunflower,,52,257,meatmeal,,63,283,casein
41,320,sunflower,,53,258,meatmeal,,64,318,casein
42,322,sunflower,,54,263,meatmeal,,65,332,casein
43,334,sunflower,,55,303,meatmeal,,66,352,casein
44,339,sunflower,,56,315,meatmeal,,67,359,casein
45,340,sunflower,,57,325,meatmeal,,68,368,casein
46,341,sunflower,,58,344,meatmeal,,69,379,casein
47,392,sunflower,,59,380,meatmeal,,70,390,casein
48,423,sunflower,,,,,,71,404,casein
,,,,Min,153,,,,,
Min,226,,,Max,380,,,Min,216,
Max,423,,,Average,276.9090909,,,Max,404,
Average,328.9166667,,,,,,,Average,323.5833333,
